Eptesicus_nilssonii_Ski0113_S2_From0439521ms_To0482724ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0117_S2_From0414522ms_To0438445ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0117_S2_From0471199ms_To0529970ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0117_S2_From0618961ms_To0648157ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0117_S2_From0799007ms_To0824626ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0119_S1_From2466924ms_To2478063ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0119_S2_From2336977ms_To2377072ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S1_From2756763ms_To2783053ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S1_From2789412ms_To2811134ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S2_From0008994ms_To0063407ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S2_From0134817ms_To0152815ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0125_S2_From0192948ms_To0203771ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S2_From0209015ms_To0227288ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S2_From0576218ms_To0601879ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0125_S2_From1191053ms_To1213631ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0125_S2_From1298985ms_To1324024ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0125_S2_From1472167ms_To1494071ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0125_S2_From1504814ms_To1529973ms.wav,Eptesicus nilssonii,hunting
Eptesicus_nilssonii_Ski0126_S1_From2108052ms_To2140699ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0133_S2_From0564575ms_To0582452ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0133_S2_From1100309ms_To1132403ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0133_S2_From1331521ms_To1351192ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0133_S2_From1466110ms_To1549566ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0134_S1_From1612518ms_To1634556ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0134_S1_From1637620ms_To1674492ms.wav,Eptesicus nilssonii,Echolocation
Eptesicus_nilssonii_Ski0150_S2_From2260633ms_To2293049ms.wav,Eptesicus nilssonii,hunting
Eptesicus_serotinus_Ski0113_S1_From2475052ms_To2501559ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S1_From2662233ms_To2687873ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S2_From0771314ms_To0790067ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S2_From0797074ms_To0818224ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S2_From1862587ms_To1898338ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S2_From2246644ms_To2265650ms.wav,Eptesicus serotinus,hunting
Eptesicus_serotinus_Ski0113_S2_From2277229ms_To2293008ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0113_S2_From2329314ms_To2354627ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0114_S1_From0524232ms_To0548897ms.wav,Eptesicus serotinus,Echolocation
Eptesicus_serotinus_Ski0114_S1_From0558995ms_To0578189ms.wav,Eptesicus serotinus,Echolocation
